Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
244,B64,MO Ziwei,40236,CHN,SIESS Michal,28616,POL,Won,15,9,R,14.0,R,34.0
244,B64,NAGANO Yudai,36173,JPN,ITKIN Nick,36441,USA,Loss,6,15,R,29.0,R,2.0
244,B64,CHEUNG Ka Long,30878,HKG,LEE Kwanghyun,25142,KOR,Won,15,11,L,1.0,R,32.0
244,B64,CHEN Yi-Tung,43301,TPE,SZEMES Gergo,43449,HUN,Loss,8,15,R,43.0,L,67.0
244,B64,GOREN Raz,40397,ISR,EDIRI Alexandre,34638,FRA,Loss,7,15,R,92.0,R,88.0
244,B64,LAZARENKO Ievgen,52880,UKR,CHOUPENITCH Alexander,21765,CZE,Loss,3,15,R,271.0,R,11.0
244,B64,MATSUYAMA Kyosuke,29076,JPN,MAROSTEGA Pedro,30935,BRA,Won,15,4,L,10.0,R,125.0
244,B64,CHOI Nicholas Edward,20789,HKG,IIMURA Kazuki,46543,JPN,Loss,5,15,R,55.0,R,5.0
244,B64,TOLBA Abdelrahman,52953,EGY,HASSAN Mohamed,34556,EGY,Won,15,9,R,19.0,R,207.0
244,B64,TOFALIDES Alex,22256,CYP,FOCONI Alessio,15860,ITA,Loss,8,15,L,70.0,R,13.0
244,B64,MEINHARDT Gerek,14397,USA,HEO Jun,16436,KOR,Loss,11,15,R,12.0,R,
244,B64,YOONG Hans Wei Shen,32419,MAS,ARCHER Kristjan,23590,GBR,Loss,10,15,R,355.0,L,101.0
244,B64,SAVIN Rafael,39650,FRA,IM Cheolwoo,31278,KOR,Won,15,9,R,72.0,L,69.0
244,B64,CHEN Chih Chieh,43300,TPE,PAUTY Maxime,25513,FRA,Loss,14,15,R,78.0,R,16.0
244,B64,MACCHI Filippo,45453,ITA,FINSTERBUSH Ori,46777,ISR,Won,15,3,L,7.0,R,194.0
244,B64,CERVANTES Diego,42177,MEX,LECHNER Moritz,36544,AUT,Loss,12,15,R,183.0,R,98.0
244,B64,SHIKINE Takahiro,31919,JPN,SPOLJAR Borna,45857,CRO,Won,15,6,R,18.0,R,73.0
244,B64,FAUL Paul Luca,51529,GER,MARINI Tommaso,41142,ITA,Loss,8,15,R,176.0,R,4.0
244,B64,HAMZA Mohamed,37194,EGY,RAJSKI Leszek,5452,POL,Won,15,5,L,3.0,R,42.0
244,B64,KAHL Alexander,30314,GER,VAN HAASTER Maximilien,17929,CAN,Loss,13,15,R,35.0,R,30.0
244,B64,COOK Jaimie,47981,GBR,WINTERBERG-POULSEN Jonas,37282,DEN,Loss,13,15,R,61.0,L,95.0
244,B64,YUNES Klod,15353,UKR,GAROZZO Daniele,19821,ITA,Loss,8,15,R,114.0,R,41.0
244,B64,CHAMLEY-WATSON Miles,12343,USA,YEUNG Chi Ka,28163,HKG,Won,15,7,R,26.0,R,143.0
244,B64,RZADKOWSKI Andrzej,30289,POL,CHEN Haiwei,32250,CHN,Loss,14,15,R,102.0,L,28.0
244,B64,MEPSTEAD Marcus,10213,GBR,BROSZUS Blake,39391,CAN,Won,15,7,R,185.0,L,56.0
244,B64,XU Jie,43549,CHN,LEFORT Enzo,22555,FRA,Loss,6,15,R,25.0,R,9.0
244,B32,MASSIALAS Alexander,21958,USA,LLAVADOR Carlos,21966,ESP,Loss,11,15,R,8.0,L,15.0
244,B32,HA Taegyu,18861,KOR,DOSA Daniel,29031,HUN,Loss,12,15,L,22.0,L,17.0
244,B32,CHOI Chun Yin Ryan,31438,HKG,DE GREEF Stef,35143,BEL,Won,15,4,L,20.0,L,44.0
244,B32,MO Ziwei,40236,CHN,ITKIN Nick,36441,USA,Loss,7,15,R,14.0,R,2.0
244,B32,CHEUNG Ka Long,30878,HKG,SZEMES Gergo,43449,HUN,Won,15,10,L,1.0,L,67.0
244,B32,EDIRI Alexandre,34638,FRA,CHOUPENITCH Alexander,21765,CZE,Loss,8,15,R,88.0,R,11.0
244,B32,MATSUYAMA Kyosuke,29076,JPN,IIMURA Kazuki,46543,JPN,Won,15,7,L,10.0,R,5.0
244,B32,TOLBA Abdelrahman,52953,EGY,FOCONI Alessio,15860,ITA,Won,15,8,R,19.0,R,13.0
244,B32,HEO Jun,16436,KOR,ARCHER Kristjan,23590,GBR,Loss,13,14,R,,L,101.0
244,B32,SAVIN Rafael,39650,FRA,PAUTY Maxime,25513,FRA,Won,15,14,R,72.0,R,16.0
244,B32,MACCHI Filippo,45453,ITA,LECHNER Moritz,36544,AUT,Won,15,14,L,7.0,R,98.0
244,B32,SHIKINE Takahiro,31919,JPN,MARINI Tommaso,41142,ITA,Loss,4,15,R,18.0,R,4.0
244,B32,HAMZA Mohamed,37194,EGY,VAN HAASTER Maximilien,17929,CAN,Won,15,6,L,3.0,R,30.0
244,B32,WINTERBERG-POULSEN Jonas,37282,DEN,GAROZZO Daniele,19821,ITA,Won,15,11,L,95.0,R,41.0
244,B32,CHAMLEY-WATSON Miles,12343,USA,CHEN Haiwei,32250,CHN,Won,15,4,R,26.0,L,28.0
244,B32,MEPSTEAD Marcus,10213,GBR,LEFORT Enzo,22555,FRA,Loss,3,15,R,185.0,R,9.0
244,B16,LLAVADOR Carlos,21966,ESP,DOSA Daniel,29031,HUN,Won,15,13,L,15.0,L,17.0
244,B16,CHOI Chun Yin Ryan,31438,HKG,ITKIN Nick,36441,USA,Loss,10,15,L,20.0,R,2.0
244,B16,CHEUNG Ka Long,30878,HKG,CHOUPENITCH Alexander,21765,CZE,Won,15,8,L,1.0,R,11.0
244,B16,MATSUYAMA Kyosuke,29076,JPN,TOLBA Abdelrahman,52953,EGY,Won,15,13,L,10.0,R,19.0
244,B16,ARCHER Kristjan,23590,GBR,SAVIN Rafael,39650,FRA,Loss,9,15,L,101.0,R,72.0
244,B16,MACCHI Filippo,45453,ITA,MARINI Tommaso,41142,ITA,Loss,11,15,L,7.0,R,4.0
244,B16,HAMZA Mohamed,37194,EGY,WINTERBERG-POULSEN Jonas,37282,DEN,Won,15,12,L,3.0,L,95.0
244,B16,CHAMLEY-WATSON Miles,12343,USA,LEFORT Enzo,22555,FRA,Loss,5,15,R,26.0,R,9.0
244,B8,LLAVADOR Carlos,21966,ESP,ITKIN Nick,36441,USA,Loss,8,15,L,15.0,R,2.0
244,B8,CHEUNG Ka Long,30878,HKG,MATSUYAMA Kyosuke,29076,JPN,Loss,14,15,L,1.0,L,10.0
244,B8,SAVIN Rafael,39650,FRA,MARINI Tommaso,41142,ITA,Loss,9,15,R,72.0,R,4.0
244,B8,HAMZA Mohamed,37194,EGY,LEFORT Enzo,22555,FRA,Loss,14,15,L,3.0,R,9.0
244,B4,ITKIN Nick,36441,USA,MATSUYAMA Kyosuke,29076,JPN,Won,15,10,R,2.0,L,10.0
244,B4,MARINI Tommaso,41142,ITA,LEFORT Enzo,22555,FRA,Won,15,13,R,4.0,R,9.0
244,B2,ITKIN Nick,36441,USA,MARINI Tommaso,41142,ITA,Loss,13,15,R,2.0,R,4.0
245,A128,PERRONI Maria Alicia,26772,ARG,RUIDO Fabiangela,30788,VEN,Won,15,11,L,106.0,R,
245,A128,BANEZCA Luismar,35322,VEN,BUITENHUIS Marleen,40877,NED,Loss,14,15,R,,L,117.0
245,A128,VASILEVA Veronika,51855,AUS,MITRUS Alexandra,53837,ROU,Won,15,8,L,56.0,R,335.0
245,A128,SHCHUKLA Iryna,28351,TÜR,SIT Summer Fay,52517,HKG,Won,15,12,R,183.0,R,62.0
245,A128,THURGOOD Madison,33491,CAN,PERDIBAEVA Gulistan,51518,UZB,Loss,10,15,R,,R,164.0
245,A128,BOUDIAF Saoussen,26533,ALG,POTTER Sophia,38211,GBR,Won,15,4,R,52.0,L,202.0
245,A64,MORMILE Chiara,26677,ITA,PERRONI Maria Alicia,26772,ARG,Won,15,11,L,25.0,L,106.0
245,A64,PAIZI Marina,18023,GRE,HAFEZ Nada,34643,EGY,Won,15,5,R,204.0,R,29.0
245,A64,OZAKI Seri,45314,JPN,HERRERA LARA Luisa Fernanda,51248,UZB,Won,15,10,R,36.0,R,105.0
245,A64,ATANASOVA Kalina,51106,BUL,BOLSHAKOVA Valeriya,29188,AZE,Won,15,9,R,180.0,L,120.0
245,A64,NAZLYMOV Tatiana,53445,USA,LISINA Alena,51406,AIN,Won,15,5,R,20.0,R,
245,A64,KEHLI Zohra Nora,48621,ALG,HRAMOVA Olga A.,17756,BUL,Loss,9,15,L,71.0,R,49.0
245,A64,DAYIBEKOVA Zaynab,43131,UZB,HENG Juliet Jie Min,51785,SGP,Loss,13,15,R,22.0,R,89.0
245,A64,RODRIGUEZ Shia,27197,VEN,CIESLAR Zuzanna,36407,POL,Loss,9,15,R,,R,40.0
