Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Foil,2023,World Championships (Milan),24-07-2023,HASSAN Mohamed,207.0,R,HOIDA Danyil,162.0,R,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,ZENG Zhaoran,152.0,R,IM Cheolwoo,69.0,L,Loss,10,15
Men,Foil,2023,World Championships (Milan),24-07-2023,EDIRI Alexandre,88.0,R,LESKOVAC Janko,296.0,R,Won,15,7
Men,Foil,2023,World Championships (Milan),24-07-2023,FAUL Paul Luca,176.0,R,GARCIA-ALZORRIZ Roger,458.0,R,Won,15,6
Men,Foil,2023,World Championships (Milan),24-07-2023,KLEIN Luis,111.0,R,NAGANO Yudai,29.0,R,Loss,11,15
Men,Foil,2023,World Championships (Milan),24-07-2023,FINSTERBUSH Ori,194.0,R,NEO Max Wei Kit,360.0,L,Won,15,8
Men,Foil,2023,World Championships (Milan),24-07-2023,SERRI Cedrik,,R,GAGANIDZE Luka,239.0,R,Won,15,11
Men,Foil,2023,World Championships (Milan),24-07-2023,XU Jie,25.0,R,DAVIS James-Andrew,115.0,L,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,MASSIALAS Alexander,8.0,R,ETTELT Maximilian,179.0,R,Won,15,12
Men,Foil,2023,World Championships (Milan),24-07-2023,POGREBNIAK Andrii,85.0,L,LLAVADOR Carlos,15.0,L,Loss,9,15
Men,Foil,2023,World Championships (Milan),24-07-2023,HA Taegyu,22.0,L,SADULLAEV Doniyor,365.0,L,Won,15,5
Men,Foil,2023,World Championships (Milan),24-07-2023,SERRI Cedrik,,R,DOSA Daniel,17.0,L,Loss,6,15
Men,Foil,2023,World Championships (Milan),24-07-2023,ABOUELKASSEM Alaaeldin,27.0,L,CHOI Chun Yin Ryan,20.0,L,Loss,13,15
Men,Foil,2023,World Championships (Milan),24-07-2023,DE GREEF Stef,44.0,L,TOLDO Guilherme,23.0,L,Won,15,11
Men,Foil,2023,World Championships (Milan),24-07-2023,MO Ziwei,14.0,R,SIESS Michal,34.0,R,Won,15,9
Men,Foil,2023,World Championships (Milan),24-07-2023,NAGANO Yudai,29.0,R,ITKIN Nick,2.0,R,Loss,6,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEUNG Ka Long,1.0,L,LEE Kwanghyun,32.0,R,Won,15,11
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEN Yi-Tung,43.0,R,SZEMES Gergo,67.0,L,Loss,8,15
Men,Foil,2023,World Championships (Milan),24-07-2023,GOREN Raz,92.0,R,EDIRI Alexandre,88.0,R,Loss,7,15
Men,Foil,2023,World Championships (Milan),24-07-2023,LAZARENKO Ievgen,271.0,R,CHOUPENITCH Alexander,,,Loss,3,15
Men,Foil,2023,World Championships (Milan),24-07-2023,MATSUYAMA Kyosuke,10.0,L,MAROSTEGA Pedro,125.0,R,Won,15,4
Men,Foil,2023,World Championships (Milan),24-07-2023,CHOI Nicholas Edward,55.0,R,IIMURA Kazuki,5.0,R,Loss,5,15
Men,Foil,2023,World Championships (Milan),24-07-2023,TOLBA Abdelrahman,19.0,R,HASSAN Mohamed,207.0,R,Won,15,9
Men,Foil,2023,World Championships (Milan),24-07-2023,TOFALIDES Alex,70.0,L,FOCONI Alessio,13.0,R,Loss,8,15
Men,Foil,2023,World Championships (Milan),24-07-2023,MEINHARDT Gerek,12.0,R,HEO Jun,,R,Loss,11,15
Men,Foil,2023,World Championships (Milan),24-07-2023,YOONG Hans Wei Shen,355.0,R,ARCHER Kristjan,101.0,L,Loss,10,15
Men,Foil,2023,World Championships (Milan),24-07-2023,SAVIN Rafael,72.0,R,IM Cheolwoo,69.0,L,Won,15,9
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEN Chih Chieh,78.0,R,PAUTY Maxime,16.0,R,Loss,14,15
Men,Foil,2023,World Championships (Milan),24-07-2023,MACCHI Filippo,7.0,L,FINSTERBUSH Ori,194.0,R,Won,15,3
Men,Foil,2023,World Championships (Milan),24-07-2023,CERVANTES Diego,183.0,R,LECHNER Moritz,98.0,R,Loss,12,15
Men,Foil,2023,World Championships (Milan),24-07-2023,SHIKINE Takahiro,18.0,R,SPOLJAR Borna,73.0,R,Won,15,6
Men,Foil,2023,World Championships (Milan),24-07-2023,FAUL Paul Luca,176.0,R,MARINI Tommaso,4.0,R,Loss,8,15
Men,Foil,2023,World Championships (Milan),24-07-2023,HAMZA Mohamed,3.0,L,RAJSKI Leszek,42.0,R,Won,15,5
Men,Foil,2023,World Championships (Milan),24-07-2023,KAHL Alexander,35.0,R,VAN HAASTER Maximilien,30.0,R,Loss,13,15
Men,Foil,2023,World Championships (Milan),24-07-2023,COOK Jaimie,61.0,R,WINTERBERG-POULSEN Jonas,95.0,L,Loss,13,15
Men,Foil,2023,World Championships (Milan),24-07-2023,YUNES Klod,114.0,R,GAROZZO Daniele,41.0,R,Loss,8,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHAMLEY-WATSON Miles,26.0,R,YEUNG Chi Ka,143.0,R,Won,15,7
Men,Foil,2023,World Championships (Milan),24-07-2023,RZADKOWSKI Andrzej,102.0,R,CHEN Haiwei,28.0,L,Loss,14,15
Men,Foil,2023,World Championships (Milan),24-07-2023,MEPSTEAD Marcus,185.0,R,BROSZUS Blake,56.0,L,Won,15,7
Men,Foil,2023,World Championships (Milan),24-07-2023,XU Jie,25.0,R,LEFORT Enzo,9.0,R,Loss,6,15
Men,Foil,2023,World Championships (Milan),24-07-2023,MASSIALAS Alexander,8.0,R,LLAVADOR Carlos,15.0,L,Loss,11,15
Men,Foil,2023,World Championships (Milan),24-07-2023,HA Taegyu,22.0,L,DOSA Daniel,17.0,L,Loss,12,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHOI Chun Yin Ryan,20.0,L,DE GREEF Stef,44.0,L,Won,15,4
Men,Foil,2023,World Championships (Milan),24-07-2023,MO Ziwei,14.0,R,ITKIN Nick,2.0,R,Loss,7,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEUNG Ka Long,1.0,L,SZEMES Gergo,67.0,L,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,EDIRI Alexandre,88.0,R,CHOUPENITCH Alexander,,,Loss,8,15
Men,Foil,2023,World Championships (Milan),24-07-2023,MATSUYAMA Kyosuke,10.0,L,IIMURA Kazuki,5.0,R,Won,15,7
Men,Foil,2023,World Championships (Milan),24-07-2023,TOLBA Abdelrahman,19.0,R,FOCONI Alessio,13.0,R,Won,15,8
Men,Foil,2023,World Championships (Milan),24-07-2023,HEO Jun,,R,ARCHER Kristjan,101.0,L,Loss,13,14
Men,Foil,2023,World Championships (Milan),24-07-2023,SAVIN Rafael,72.0,R,PAUTY Maxime,16.0,R,Won,15,14
Men,Foil,2023,World Championships (Milan),24-07-2023,MACCHI Filippo,7.0,L,LECHNER Moritz,98.0,R,Won,15,14
Men,Foil,2023,World Championships (Milan),24-07-2023,SHIKINE Takahiro,18.0,R,MARINI Tommaso,4.0,R,Loss,4,15
Men,Foil,2023,World Championships (Milan),24-07-2023,HAMZA Mohamed,3.0,L,VAN HAASTER Maximilien,30.0,R,Won,15,6
Men,Foil,2023,World Championships (Milan),24-07-2023,WINTERBERG-POULSEN Jonas,95.0,L,GAROZZO Daniele,41.0,R,Won,15,11
Men,Foil,2023,World Championships (Milan),24-07-2023,CHAMLEY-WATSON Miles,26.0,R,CHEN Haiwei,28.0,L,Won,15,4
Men,Foil,2023,World Championships (Milan),24-07-2023,MEPSTEAD Marcus,185.0,R,LEFORT Enzo,9.0,R,Loss,3,15
Men,Foil,2023,World Championships (Milan),24-07-2023,LLAVADOR Carlos,15.0,L,DOSA Daniel,17.0,L,Won,15,13
Men,Foil,2023,World Championships (Milan),24-07-2023,CHOI Chun Yin Ryan,20.0,L,ITKIN Nick,2.0,R,Loss,10,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEUNG Ka Long,1.0,L,CHOUPENITCH Alexander,,,Won,15,8
Men,Foil,2023,World Championships (Milan),24-07-2023,MATSUYAMA Kyosuke,10.0,L,TOLBA Abdelrahman,19.0,R,Won,15,13
Men,Foil,2023,World Championships (Milan),24-07-2023,ARCHER Kristjan,101.0,L,SAVIN Rafael,72.0,R,Loss,9,15
Men,Foil,2023,World Championships (Milan),24-07-2023,MACCHI Filippo,7.0,L,MARINI Tommaso,4.0,R,Loss,11,15
Men,Foil,2023,World Championships (Milan),24-07-2023,HAMZA Mohamed,3.0,L,WINTERBERG-POULSEN Jonas,95.0,L,Won,15,12
Men,Foil,2023,World Championships (Milan),24-07-2023,CHAMLEY-WATSON Miles,26.0,R,LEFORT Enzo,9.0,R,Loss,5,15
Men,Foil,2023,World Championships (Milan),24-07-2023,LLAVADOR Carlos,15.0,L,ITKIN Nick,2.0,R,Loss,8,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEUNG Ka Long,1.0,L,MATSUYAMA Kyosuke,10.0,L,Loss,14,15
Men,Foil,2023,World Championships (Milan),24-07-2023,SAVIN Rafael,72.0,R,MARINI Tommaso,4.0,R,Loss,9,15
Men,Foil,2023,World Championships (Milan),24-07-2023,HAMZA Mohamed,3.0,L,LEFORT Enzo,9.0,R,Loss,14,15
Men,Foil,2023,World Championships (Milan),24-07-2023,ITKIN Nick,2.0,R,MATSUYAMA Kyosuke,10.0,L,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,MARINI Tommaso,4.0,R,LEFORT Enzo,9.0,R,Won,15,13
