Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,RAMIREZ Yeisser,1028.0,R,TORKILDSEN Sturla,416.0,L,Won,15,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BOUZAID Alexandre,36.0,L,STEFFEN Benjamin,55.0,L,Won,15,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KIM Jaewon,796.0,L,ANOKHIN Vadim,27.0,R,Loss,7,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KAUTER Michael,337.0,R,TULEN Tristan,84.0,L,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ITO Inochi,163.0,L,LAI Clarence Ka Tsun,177.0,L,Won,15,6
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,STANKEVYCH Volodymyr,71.0,R,CUPR Michal,350.0,R,Won,15,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BÃHM Constantin,,L,NOLLNER Dylan,314.0,R,Loss,14,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SIMMONS Ariel,,R,TREVEJO Ivan,,L,Loss,8,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PRIINITS Sten,29.0,R,POKORNY Richard,128.0,L,Won,15,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KEYHANI Mohammad Ali,237.0,L,ROBEIRI Ulrich,,R,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,JORDAN Rene,975.0,R,NABIL Ahmed,,L,Loss,3,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BRATTON Benjamin,30.0,R,BUZZI Lorenzo,99.0,R,Won,15,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,AREDE Pedro,262.0,R,ROD Max,190.0,L,Won,15,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BRUTTINI Lorenzo,347.0,R,RODRIGUEZ John Edison,34.0,L,Loss,14,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ALIMZHANOV Elmir,67.0,R,VAN NUNEN David,265.0,R,Won,15,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,REIZLIN Igor,101.0,R,SCHWANTES Athos,236.0,R,Loss,10,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FAVA Alex,133.0,R,KUDAYEV Ruslan,,L,Won,15,7
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ALEXANIN Dmitriy,37.0,L,KWEON Youngjun,6.0,R,Loss,8,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KUCHALSKI Tim,,L,BAYARD Alexis,102.0,L,Won,15,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BONNAIRE Jonathan,63.0,R,FAYEZ Ayman,35.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KHODOS Sergey,31.0,R,LUGONES RUGGERI Jesus Andres,23.0,R,Won,15,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SAKAMOTO Keisuke,119.0,R,BAROGLIO Andrea,231.0,R,Loss,13,15
