Gender,Weapon,Season,Competition,Round,Fencer1 Name,Fencer1 Nation,Fencer1 Score,Fencer1 Winner,Fencer2 Name,Fencer2 Nation,Fencer2 Score,Fencer2 Winner,Referees
men,epee,2023,World Championships,A32,ELKORD Houssam,MAR,13,False,KURBANOV Ruslan,KAZ,15,True,"Ref KOVRIJNYKH Andrei RSA, Video DOUVIS Andreas GRE"
men,epee,2023,World Championships,A32,WANG Zijie,CHN,15,True,LIMARDO Francisco,VEN,12,False,"Ref PAGHIEV Mihail MDA, Video PEYKARARA Reza IRI"
men,epee,2023,World Championships,A32,KIM Jaewon,KOR,12,False,KANO Koki,JPN,14,True,"Ref CIVIERO-AIVANO Ambre SUI, Video KIAVUE Ella FRA"
men,epee,2023,World Championships,A32,BOREL Yannick,FRA,15,True,SHARLAIMOV Vadim,KAZ,13,False,"Ref TURDIKULOVA Dilorom UZB, Video MARTILOTTI Luigi ITA"
men,epee,2023,World Championships,A32,YASSEEN Mohamed,EGY,8,False,MINOBE Kazuyasu,JPN,9,True,"Ref CHICHON Vanesa ESP, Video PEYKARARA Reza IRI"
men,epee,2023,World Championships,A32,YAMADA Masaru,JPN,15,True,HO Wai Hang,HKG,9,False,"Ref AULAR Aleska VEN, Video VALIYEV Fikrat AZE"
men,epee,2023,World Championships,A32,RUBES Martin,CZE,10,False,DI VEROLI Davide,ITA,14,True,"Ref PAGHIEV Mihail MDA, Video DOUVIS Andreas GRE"
men,epee,2023,World Championships,A32,FREILICH Yuval Shalom,ISR,13,False,SANTARELLI Andrea,ITA,15,True,"Ref AULAR Aleska VEN, Video KIAVUE Ella FRA"
men,epee,2023,World Championships,A32,RODRIGUEZ John Edison,COL,7,False,ELSAYED Mohamed,EGY,15,True,"Ref PAGHIEV Mihail MDA, Video DYAOKOKIN Yevgeniy KAZ"
men,epee,2023,World Championships,A32,BAYARD Alexis,SUI,9,False,LOYOLA Neisser,BEL,15,True,"Ref BERBEZIER Thibaut FRA, Video MARTILOTTI Luigi ITA"
men,epee,2023,World Championships,A32,JURKA Jakub,CZE,5,False,SIKLOSI Gergely,HUN,15,True,"Ref BERBEZIER Thibaut FRA, Video VALIYEV Fikrat AZE"
men,epee,2023,World Championships,A16,LUGO Grabiel,VEN,12,False,ANDRASFI Tibor,HUN,13,True,"Ref TURDIKULOVA Dilorom UZB, Video KIAVUE Ella FRA"
men,epee,2023,World Championships,A16,VISMARA Federico,ITA,14,True,ALIMZHANOV Elmir,KAZ,13,False,"Ref PAGHIEV Mihail MDA, Video PEYKARARA Reza IRI"
men,epee,2023,World Championships,A16,CANNONE Romain,FRA,10,False,KURBANOV Ruslan,KAZ,15,True,"Ref KOVRIJNYKH Andrei RSA, Video MARTILOTTI Luigi ITA"
men,epee,2023,World Championships,A16,WANG Zijie,CHN,4,False,KANO Koki,JPN,15,True,"Ref KOVRIJNYKH Andrei RSA, Video KOSA Miklos HUN"
men,epee,2023,World Championships,A16,BOREL Yannick,FRA,15,True,MINOBE Kazuyasu,JPN,11,False,"Ref PAGHIEV Mihail MDA, Video VALIYEV Fikrat AZE"
men,epee,2023,World Championships,A16,YAMADA Masaru,JPN,15,True,DI VEROLI Davide,ITA,11,False,"Ref TURDIKULOVA Dilorom UZB, Video AULAR Aleska VEN"
men,epee,2023,World Championships,A16,SANTARELLI Andrea,ITA,10,False,ELSAYED Mohamed,EGY,15,True,"Ref CIVIERO-AIVANO Ambre SUI, Video DYAOKOKIN Yevgeniy KAZ"
men,epee,2023,World Championships,A16,LOYOLA Neisser,BEL,14,True,SIKLOSI Gergely,HUN,13,False,"Ref CIVIERO-AIVANO Ambre SUI, Video VALIYEV Fikrat AZE"
men,epee,2023,World Championships,A8,ANDRASFI Tibor,HUN,15,True,VISMARA Federico,ITA,13,False,"Ref KOVRIJNYKH Andrei RSA, Video AULAR Aleska VEN"
men,epee,2023,World Championships,A8,KURBANOV Ruslan,KAZ,6,False,KANO Koki,JPN,15,True,"Ref CIVIERO-AIVANO Ambre SUI, Video DOUVIS Andreas GRE"
men,epee,2023,World Championships,A8,BOREL Yannick,FRA,12,True,YAMADA Masaru,JPN,11,False,"Ref TURDIKULOVA Dilorom UZB, Video PEYKARARA Reza IRI"
men,epee,2023,World Championships,A8,ELSAYED Mohamed,EGY,9,True,LOYOLA Neisser,BEL,8,False,"Ref PAGHIEV Mihail MDA, Video CHICHON Vanesa ESP"
men,epee,2023,World Championships,A4,ANDRASFI Tibor,HUN,13,False,KANO Koki,JPN,14,True,"Ref PAGHIEV Mihail MDA, Video TURDIKULOVA Dilorom UZB, Assistant AULAR Aleska VEN, Assistant KOVRIJNYKH Andrei RSA"
men,epee,2023,World Championships,A4,BOREL Yannick,FRA,15,True,ELSAYED Mohamed,EGY,9,False,"Ref KOVRIJNYKH Andrei RSA, Video AULAR Aleska VEN, Assistant PAGHIEV Mihail MDA, Assistant TURDIKULOVA Dilorom UZB"
men,epee,2023,World Championships,A2,KANO Koki,JPN,15,True,BOREL Yannick,FRA,9,False,"Ref KOVRIJNYKH Andrei RSA, Video PAGHIEV Mihail MDA, Assistant AULAR Aleska VEN, Assistant TURDIKULOVA Dilorom UZB"
men,sabre,2023,World Championships,A64,CAUCHON Francois,CAN,13,False,DI TELLA Pascual Maria,ARG,15,True,"Ref MILENCHEV Vasil BUL, Video ARSLAN Abdussamet TUR"
men,sabre,2023,World Championships,A64,FOTOUHI Mohammad,IRI,13,False,ZEA Gibran,MEX,15,True,"Ref KOSA Miklos HUN, Video MARTILOTTI Luigi ITA"
men,sabre,2023,World Championships,A32,ELSISSY Ziad,EGY,15,True,DI TELLA Pascual Maria,ARG,11,False,"Ref MILENCHEV Vasil BUL, Video CHUA Eugene Wee Hong SGP"
men,sabre,2023,World Championships,A32,SARON Mitchell,USA,15,True,PIANFETTI Maxime,FRA,12,False,"Ref KOSA Miklos HUN, Video HUANG Hao Chih TPE"
men,sabre,2023,World Championships,A32,SZABO Matyas,GER,15,True,ALSHAMLAN Yousef,KUW,6,False,"Ref KOSA Miklos HUN, Video HUANG Hao Chih TPE"
men,sabre,2023,World Championships,A32,RAHBARI Mohammad,IRI,13,False,PATRICE Sebastien,FRA,15,True,"Ref ARSLAN Abdussamet TUR, Video DOANA Andreea ROU"
men,sabre,2023,World Championships,A32,HEATHCOCK Colin,USA,10,False,PARK Sangwon,KOR,15,True,"Ref DOUVIS Andreas GRE, Video SOYER-MALHERBE Thibault FRA"
men,sabre,2023,World Championships,A32,SHEN Chenpeng,CHN,15,True,GALLO Michele,ITA,6,False,"Ref CHICHON Vanesa ESP, Video PEYKARARA Reza IRI"
men,sabre,2023,World Championships,A32,FERJANI Fares,TUN,15,True,GU Bongil,KOR,8,False,"Ref CHICHON Vanesa ESP, Video JEANNY Aurelie FRA"
men,sabre,2023,World Championships,A32,GEMESI Csanad,HUN,15,True,DERSHWITZ Eli,USA,10,False,"Ref DOUVIS Andreas GRE, Video BERTHIER Anne-Laure FRA"
men,sabre,2023,World Championships,A32,OH Sanguk,KOR,15,True,GIRAULT Evann Jean Abba,NIG,8,False,"Ref MARTILOTTI Luigi ITA, Video JEANNY Aurelie FRA"
men,sabre,2023,World Championships,A32,YOSHIDA Kento,JPN,11,False,PAKDAMAN Ali,IRI,15,True,"Ref ARSLAN Abdussamet TUR, Video DOANA Andreea ROU"
men,sabre,2023,World Championships,A32,APITHY Bolade,FRA,15,True,SZATMARI Andras,HUN,13,False,"Ref VALIYEV Fikrat AZE, Video PEYKARARA Reza IRI"
men,sabre,2023,World Championships,A32,ARFA Fares,CAN,15,True,SZILAGYI Aron,HUN,8,False,"Ref DYAOKOKIN Yevgeniy KAZ, Video DECKER Laura USA"
men,sabre,2023,World Championships,A32,SAMELE Luigi,ITA,15,True,GORDON Shaul,CAN,10,False,"Ref VALIYEV Fikrat AZE, Video DECKER Laura USA"
men,sabre,2023,World Championships,A32,YILDIRIM Enver,TÜR,10,False,CURATOLI Luca,ITA,15,True,"Ref DYAOKOKIN Yevgeniy KAZ, Video CHUA Eugene Wee Hong SGP"
men,sabre,2023,World Championships,A32,MOATAZ Adham,EGY,8,False,AMER Mohamed,EGY,15,True,"Ref MILENCHEV Vasil BUL, Video BERTHIER Anne-Laure FRA"
men,sabre,2023,World Championships,A32,ZEA Gibran,MEX,6,False,BAZADZE Sandro,GEO,15,True,"Ref MARTILOTTI Luigi ITA, Video SOYER-MALHERBE Thibault FRA"
men,sabre,2023,World Championships,A16,ELSISSY Ziad,EGY,15,True,SARON Mitchell,USA,13,False,"Ref DYAOKOKIN Yevgeniy KAZ, Video DOUVIS Andreas GRE"
men,sabre,2023,World Championships,A16,SZABO Matyas,GER,15,True,PATRICE Sebastien,FRA,13,False,"Ref MARTILOTTI Luigi ITA, Video PEYKARARA Reza IRI"
men,sabre,2023,World Championships,A16,PARK Sangwon,KOR,11,False,SHEN Chenpeng,CHN,15,True,"Ref MARTILOTTI Luigi ITA, Video DECKER Laura USA"
men,sabre,2023,World Championships,A16,FERJANI Fares,TUN,15,True,GEMESI Csanad,HUN,14,False,"Ref MILENCHEV Vasil BUL, Video DOUVIS Andreas GRE"
men,sabre,2023,World Championships,A16,OH Sanguk,KOR,15,True,PAKDAMAN Ali,IRI,10,False,"Ref KOSA Miklos HUN, Video DOANA Andreea ROU"
men,sabre,2023,World Championships,A16,APITHY Bolade,FRA,8,False,ARFA Fares,CAN,15,True,"Ref DYAOKOKIN Yevgeniy KAZ, Video VALIYEV Fikrat AZE"
men,sabre,2023,World Championships,A16,SAMELE Luigi,ITA,15,True,CURATOLI Luca,ITA,12,False,"Ref CHICHON Vanesa ESP, Video ARSLAN Abdussamet TUR"
men,sabre,2023,World Championships,A16,AMER Mohamed,EGY,15,True,BAZADZE Sandro,GEO,14,False,"Ref CHICHON Vanesa ESP, Video DOANA Andreea ROU"
men,sabre,2023,World Championships,A8,ELSISSY Ziad,EGY,15,True,SZABO Matyas,GER,14,False,"Ref MILENCHEV Vasil BUL, Video DYAOKOKIN Yevgeniy KAZ"
men,sabre,2023,World Championships,A8,SHEN Chenpeng,CHN,14,False,FERJANI Fares,TUN,15,True,"Ref ARSLAN Abdussamet TUR, Video CHICHON Vanesa ESP"
men,sabre,2023,World Championships,A8,OH Sanguk,KOR,15,True,ARFA Fares,CAN,13,False,"Ref KOSA Miklos HUN, Video PEYKARARA Reza IRI"
men,sabre,2023,World Championships,A8,SAMELE Luigi,ITA,15,True,AMER Mohamed,EGY,13,False,"Ref DOUVIS Andreas GRE, Video VALIYEV Fikrat AZE"
men,sabre,2023,World Championships,A4,ELSISSY Ziad,EGY,11,False,FERJANI Fares,TUN,15,True,"Ref DOUVIS Andreas GRE, Video ARSLAN Abdussamet TUR, Assistant KOSA Miklos HUN, Assistant MILENCHEV Vasil BUL"
men,sabre,2023,World Championships,A4,OH Sanguk,KOR,15,True,SAMELE Luigi,ITA,5,False,"Ref KOSA Miklos HUN, Video MILENCHEV Vasil BUL, Assistant DOUVIS Andreas GRE, Assistant ARSLAN Abdussamet TUR"
men,sabre,2023,World Championships,A2,FERJANI Fares,TUN,11,False,OH Sanguk,KOR,15,True,"Ref MILENCHEV Vasil BUL, Video DOUVIS Andreas GRE, Assistant ARSLAN Abdussamet TUR, Assistant KOSA Miklos HUN"
men,epee,2023,European Games,A128,TULEN Rafael,NED,5,False,HASANOV Ruslan,AZE,15,True,Ref CIVIERO-AIVANO Ambre SUI
men,epee,2023,European Games,A128,KULESOVS Vadims,LAT,11,False,GALABOV Yordan,BUL,15,True,Ref HABLUTZEL-BURKI Gianna SUI
men,epee,2023,European Games,A128,HEINAMAA Akseli,FIN,14,False,BERAN Jiri,CZE,15,True,Ref BAKUM Andrii UKR
