Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
185,A8,SHAHMIRI Ahmad Reza,36930,IRI,ALMASRI Osama,45047,JOR,Loss,12,15
185,A8,ALHILFI Mohammed,36943,IRQ,MANDOV Ivan,33063,BUL,Loss,14,15
185,A4,STOYCHEV Todor,45300,BUL,SARKISSYAN Artyom,41791,KAZ,Loss,10,15
185,A4,ALMASRI Osama,45047,JOR,MANDOV Ivan,33063,BUL,Loss,11,15
185,A2,SARKISSYAN Artyom,41791,KAZ,MANDOV Ivan,33063,BUL,Won,15,13
1387,A128,REGUEIRO RODRIGUEZ Pablo,54462,ESP,CIEPLY Oliwier,57861,POL,Loss,10,15
1387,A128,GARCIA-ALZORRIZ Roger,32394,ESP,GRASS Andrew,60452,USA,Won,15,11
1387,A128,EHTESHAMI Ardeshir,56903,IRL,DROEGE Oliver,56729,GER,Won,15,14
1387,A128,CAMAYO GUERRERO Isaac,51958,COL,PACHON Santiago,16744,COL,Loss,14,15
1387,A128,PINTO CANO Daniel,14148,COL,ORTIN German,51981,ESP,Loss,11,15
1387,A128,JONES Alexander,36809,GBR,WELCH Kyle,60302,IRL,Loss,11,15
1387,A128,HERNANDO SANZ Jorge,28867,ESP,JURAS Danielius,54374,LTU,Loss,14,15
1387,A128,MENEZES Duarte,52278,POR,PORS Christian,25253,DEN,Won,15,10
1387,A128,GOMEZ Eloy,46146,ESP,ROMERO ORTIN Hector,54687,ESP,Loss,11,15
1387,A128,LACASTA Sergio,25512,ESP,MARCOS Enrique,46065,ESP,Won,15,9
1387,A128,BIELYI-SHEMARDIN Mark,60847,UKR,ZABALA Juan,49385,ESP,Loss,10,15
1387,A128,MATUSEWICZ Kamil,53818,POL,JARAS EGUINOA Martin,57396,ESP,Loss,13,15
1387,A128,ROSERO BACA David Alejandro,47251,ECU,LOPEZ GOMEZ Jose Miguel,46217,ESP,Loss,3,15
1387,A128,FERREIRO German,52639,ESP,SOLDEVILLA RODRIGUEZ Eric,60804,ESP,Won,15,6
1387,A128,LIVINGSTONE Patrick,45574,JAM,DIAZ ESCALONA Mario,46064,ESP,Loss,6,15
1387,A128,VARGAS ESCOBAR Tomas,42455,COL,RODRIGUEZ DOMINGUEZ Jaime,34434,ESP,Loss,13,15
1387,A64,DI TOMMASO Alessio,41836,ITA,CIEPLY Oliwier,57861,POL,Won,15,2
